track_id,track_name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date,liked
634A7WP6MPVkFJrSV1KnGm,Flâneur,Sunhead,5XGGmGk4hqRcpKMEeXwL7z,"['Plini', 'Anomalie']","['3Gs10XJ4S4OEFrMRqZJcic', '2ev6Cd0yJVCcpf2zezEQ8Z']",3,1,False,0.319,0.5710000000000001,10,-8.039,0,0.0425,0.033,0.69,0.113,0.522,82.59200000000001,360000,4.0,2018,2018-07-27,1
00xissXV4myrpRq24ObzLz,Sunhead,Sunhead,5XGGmGk4hqRcpKMEeXwL7z,['Plini'],['3Gs10XJ4S4OEFrMRqZJcic'],4,1,False,0.405,0.535,5,-7.099,0,0.0368,0.0421,0.8059999999999999,0.108,0.475,121.784,330000,1.0,2018,2018-07-27,1
6dmueYtoihUhlQZlImBCmm,Creep - 2017 Remaster,Core (Super Deluxe Edition),5kxuokOacguIqDJRh1ZXRC,['Stone Temple Pilots'],['2UazAtjfzqBF0Nho2awK4z'],7,1,False,0.662,0.485,4,-9.161,0,0.0304,0.00483,0.000295,0.086,0.171,107.767,334387,4.0,1992,1992-09-29,0
45zvStEMsXp8z45OQRhWFJ,American Idiot,American Idiot (Deluxe),5Qhn2FpGWmTjCuntF09j7g,['Green Day'],['7oPftvlwr6VrsViSDV7fJY'],1,1,True,0.381,0.984,1,-2.42,1,0.0638,2.53e-05,6.91e-05,0.27,0.81,186.081,174320,4.0,2004,2004-09-21,1
2jmBc2dTGXU9quHYTkpxSL,Circles,Morning View,1rQZbncicoXyB64DqoH7OY,['Incubus'],['3YcBF2ttyueytpXtEzn1Za'],2,1,False,0.3939999999999999,0.8190000000000001,10,-6.672999999999999,1,0.0401,7.04e-05,0.000111,0.0527,0.255,89.999,249373,4.0,2001,2001-10-23,0
4zzQfaoSLAQbfXm2wCsaT8,Come Tomorrow (feat. Brandi Carlile),Come Tomorrow (feat. Brandi Carlile),2s1IJaDlUlxmMaEtk4PtnT,"['Dave Matthews Band', 'Brandi Carlile']","['2TI7qyDE0QfyOlnbtfDo7L', '2sG4zTOLvjKG1PSoOyf5Ej']",1,1,False,0.461,0.813,9,-5.16,1,0.0422,0.311,0.000294,0.126,0.426,180.015,274599,4.0,2019,2019-06-14,0
0zZnBbRW4Dt4cJKVtUQFwF,Balada - Ao Vivo,Gusttavo Lima e Você (Ao Vivo),0JZWK7QhGa1Ir5IRLENyW6,['Gusttavo Lima'],['7MiDcPa6UiV3In7lIM71IN'],2,1,False,0.675,0.958,11,-4.208,0,0.0611,0.17,0.0,0.965,0.813,128.006,201840,4.0,2011,2011-09-20,0
30XUVaCG8ghAiE45SnXLhn,Out For Blood,Order In Decline,7j11BWRSLFBFUVR4EPG6WD,['Sum 41'],['0qT79UgT5tY4yudH9VfsdT'],2,1,False,0.5529999999999999,0.868,6,-4.186,0,0.048,7.35e-05,0.0359,0.0934,0.5,140.054,216571,4.0,2019,2019-07-19,0
0RO9W1xJoUEpq5MEelddFb,Stairway to Heaven - Remaster,Led Zeppelin IV (Remaster),5EyIDBAqhnlkAHqvPRwdbX,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],4,1,False,0.3379999999999999,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.1159999999999999,0.1969999999999999,82.43299999999998,482830,4.0,1971,1971-11-08,1
3qT4bUD1MaWpGrTwcvguhb,Black Dog - Remaster,Led Zeppelin IV (Deluxe Edition),44Ig8dzqOkvkGDzaUof9lK,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],1,1,False,0.4370000000000001,0.8640000000000001,4,-7.842,0,0.0904,0.396,0.0314,0.242,0.7490000000000001,81.39399999999998,295387,4.0,1971,1971-11-08,1
